Drug,Class
Digitek,Group V antiarrhythmics
"Dihydrocodeine, Aspirin, and Caffeine","Analgesic, Opioid"
Dihydroergotamine, Non-selective alpha-Adrenergic Blocking Agents
Dilacor XR,Calcium channel blocking agents
Dilantin,Group I antiarrhythmics
Dilatrate-SR,Antianginal agents
Dilaudid,Narcotic analgesics
Dilaudid-HP,Narcotic analgesics
dilTIAZem," Calcium-Channel Blocking Agents, Miscellaneous"
Tetrofosmin,Radiologic conjugating agents
Dilt-XR,Calcium channel blocking agents
Diltia XT,Calcium channel blocking agents
Diltzac,Calcium channel blocking agents
Dimenhydrinate, Antihistamines
Dimercaprol, Heavy Metal Antagonists
"Dimetapp, Childrens Non-Drowsy Allergy ODT",Antihistamines
Dimethyl Fumarate, Immunomodulatory Agents
Dinoprostone, Oxytocics
Dinutuximab, Antineoplastic Agents
Diovan,Angiotensin receptor blockers
Technivie,Antiviral combinations
Diovan HCT,Angiotensin II inhibitors with thiazides
Dipentum,5-aminosalicylates
Di-Phen Oral Solution,Anticholinergic antiemetics
Diphenoxylate, Antidiarrhea Agents
"Diphtheria and Tetanus Toxoids, Acellular Pertussis, Hepatitis B (Recombinant), Poliovirus (Inactivated), and Haemophilus influenzae B Conjugate (Adsorbed) Vaccine",Vaccine
"Diphtheria and Tetanus Toxoids, Acellular Pertussis, Poliovirus and Haemophilus b Conjugate Vaccine",Vaccine
"Diphtheria, Tetanus Toxoids, Acellular Pertussis, Hepatitis B (Recombinant), and Poliovirus (Inactivated) Vaccine",Vaccine
"Diphtheria and Tetanus Toxoids, Acellular Pertussis, and Poliovirus Vaccine",Vaccine
"Diphtheria and Tetanus Toxoids, and Acellular Pertussis Vaccine",Vaccine
Dipivefrin,Ophthalmic glaucoma agents
Tecovirimat," Antivirals, Miscellaneous"
Diprivan,General anesthetics
Diprolene,Topical steroids
Dipyridamole," Vasodilating Agents, Miscellaneous"
Iodoquinol, Amebicides
Diroximel Fumarate, Immunomodulatory Agents
Methadone, Opiate Agonists
Disopyramide, Class Ia Antiarrhythmics
DisperMox,Aminopenicillins
Disulfiram, Alcohol Deterrents
Ditropan,Urinary antispasmodics
Tedizolid, Oxazolidinones
Ditropan XL,Urinary antispasmodics
Diuril,Thiazide diuretics
Chlorothiazide, Thiazide Diuretics
Divalproex Capsules,Fatty acid derivative anticonvulsants
Divalproex,Fatty acid derivative anticonvulsants
Estradiol, Estrogens
Me-PB-Hyos Tablets,Anticholinergics / antispasmodics
Me-PB-Hyos Elixir,Anticholinergics / antispasmodics
"Measles, Mumps, and Rubella Vaccine", Vaccines
"Measles, Mumps, and Rubella Virus Vaccine",Vaccine
Teduglutide," GI Drugs, Miscellaneous"
Mephobarbital,Barbiturate anticonvulsants
Mebendazole, Anthelmintics
Vitamin B Complex,Vitamin and mineral combinations
Technetium TC 99M Mebrofenin,Radiologic conjugating agents
Mecamylamine,Ganglionic Blocking Agent
Mecasermin, Somatotropin Agonists
Mechlorethamine," Skin and Mucous Membrane Agents, Miscellaneous"
Mechlorethamine (Systemic),"Antineoplastic Agent, Alkylating Agent"
Meclizine, Antihistamines
Meclofenamate, Other Nonsteroidal Anti-inflammatory Agents
Phendimetrazine, Amphetamine Derivatives
Teflaro,Next generation cephalosporins
Amoxicillin, Aminopenicillins
Methylprednisolone, Adrenals
Topical Pain Relief Rx,Topical rubefacient
Air,Medical gas
"Butalbital,Acetaminophen and Caffeine Solution",Analgesic combinations
Isoproterenol, Non-selective beta-Adrenergic Agonists
Lidocaine and Prilocaine,Topical anesthetics
Medrol,Glucocorticoids
medroxyPROGESTERone, Progestins
Mefenamic Acid, Other Nonsteroidal Anti-inflammatory Agents
Tegaserod, Prokinetic Agents
Mefloquine, Antimalarials
Mefoxin,Second generation cephalosporins
cefOXitin, Cephamycins
Megace ES,Hormones / antineoplastics
Megace,Hormones / antineoplastics
Megestrol, Progestins
Mekinist,Multikinase inhibitors
Mektovi,Multikinase inhibitors
Thioridazine,Phenothiazine antipsychotics
Melpaque HP Cream,Topical depigmenting agents
Tegretol,Dibenzazepine anticonvulsants
Melphalan, Antineoplastic Agents
Melquin HP Cream,Topical depigmenting agents
Cetirizine, Second Generation Antihistamines
MembraneBlue,Ophthalmic diagnostic agents
Menactra,Bacterial vaccines
Menest,Estrogens
Meningococcal (Groups A / C / Y and W-135) Diphtheria Conjugate Vaccine,Vaccine
Meningococcal Group B Vaccine, Vaccines
Esterified Estrogens and Methyltestosterone,Sex hormone combinations
Pyrethrins with Piperonyl Butoxide, Scabicides and Pediculicides
"Meningococcal Groups A, C, Y, and W-135 Vaccine", Vaccines
Menopur,Gonadotropins
Menostar,Estrogens
Menotropins, Gonadotropins
Mentax,Topical antifungals
Lidocaine and Menthol,"Analgesic, Topical"
Menveo,Bacterial vaccines
Mepenzolate,Anticholinergic Agent
Meperidine, Opiate Agonists
Meperidine and Promethazine Capsules,Narcotic analgesic combinations
Tegsedi,Miscellaneous metabolic agents
Meperidine and Promethazine,Analgesic Combination (Opioid)
Mephyton,Anticoagulant reversal agents
Mepivacaine,Local Anesthetic
Mepolizumab, Interleukin Antagonists
Meprobamate," Anxiolytics, Sedatives, and Hypnotics; Miscellaneous"
Mepron,Miscellaneous antibiotics
Mepsevii,Lysosomal enzymes
Mercaptopurine, Antineoplastic Agents
Meridia,Anorexiants
Meropenem, Carbapenems
Tekamlo,Miscellaneous antihypertensive combinations
Meropenem and Vaborbactam, Carbapenems
Merrem,Carbapenems
Mesna, Protective Agents
Mesnex,Antineoplastic detoxifying agents
Mestinon,Cholinergic muscle stimulants
Pyridostigmine, Parasympathomimetic (Cholinergic) Agents
Methylphenidate, Respiratory and CNS Stimulants
Metadate ER,CNS stimulants
Metaglip,Antidiabetic combinations
Metaproterenol, Selective beta-2-Adrenergic Agonists
Tekturna,Renin inhibitors
Metastron,Therapeutic radiopharmaceuticals
Fludeoxyglucose F 18,Diagnostic radiopharmaceuticals
Metaxalone, Centrally Acting Skeletal Muscle Relaxants
Pioglitazone and Metformin,"Antidiabetic Agent, Biguanide"
Sitagliptin and Metformin,"Antidiabetic Agent, Biguanide"
Methadose,Narcotic analgesics
Methamphetamine, Amphetamines
Methazolamide, Carbonic Anhydrase Inhibitors
"Neomycin, Polymyxin B, and Dexamethasone","Antibiotic/Corticosteroid, Ophthalmic"
Methenamine, Urinary Anti-infectives
Tekturna HCT,Miscellaneous antihypertensive combinations
Methergine,Uterotonic agents
Methimazole, Antithyroid Agents
Methitest,Androgens and anabolic steroids
Methocarbamol, Centrally Acting Skeletal Muscle Relaxants
Methotrexate, Antineoplastic Agents
Methoxsalen (Systemic),Psoralen
Methoxsalen,Psoralens
Methoxsalen (Topical),Psoralen
Methoxy Polyethylene Glycol-epoetin Beta, Hematopoietic Agents
Methscopolamine, Antimuscarinics/Antispasmodics
Telavancin, Glycopeptides
Methsuximide,"Anticonvulsant, Succinimide"
Methyclothiazide,Thiazide diuretics
Methyl Aminolevulinate,"Photosensitizing Agent, Topical"
Methyldopa, Central alpha-Agonists
Methyldopa and Hydrochlorothiazide,Alpha2-Adrenergic Agonist
Methylene Blue, Antidotes
Methylergonovine,Ergot Derivative
Methylin,CNS stimulants
Methylnaltrexone," GI Drugs, Miscellaneous"
Methyltestosterone, Androgens
Telbivudine,"Antihepadnaviral, Reverse Transcriptase Inhibitor, Nucleoside (Anti-HBV)"
Metipranolol,"Beta-Blocker, Nonselective"
Metoclopramide, Prokinetic Agents
Metolazone, Thiazide-like Diuretics
Metopirone,Adrenal corticosteroid inhibitors
Metoprolol, beta-Adrenergic Blocking Agents
Metoprolol and Hydrochlorothiazide,Antihypertensive
Metozolv ODT,GI stimulants
Metreleptin, Leptins
MetroCream,Topical anti-rosacea agents
MetroGel,Topical anti-rosacea agents
Phospholine Iodide,Ophthalmic glaucoma agents
Plexion,Topical antibiotics
Iprivask,Thrombin inhibitors
Ajovy Injection,CGRP inhibitors
Efavirenz, HIV Nonnucleoside Reverse Transcriptase Inhibitors
"Efavirenz, Emtricitabine, and Tenofovir Disoproxil Fumarate","Antiretroviral, Reverse Transcriptase Inhibitor, Non-nucleoside (Anti-HIV)"
"Efavirenz, Emtricitabine and Tenofovir Tablets",Antiviral combinations
"Efavirenz, Lamivudine, and Tenofovir Disoproxil Fumarate","Antiretroviral, Reverse Transcriptase Inhibitor, Non-nucleoside (Anti-HIV)"
Effexor,Serotonin-norepinephrine reuptake inhibitors
Effexor XR,Serotonin-norepinephrine reuptake inhibitors
Effient,Platelet aggregation inhibitors
Efinaconazole, Azoles
Pliaglis,Topical anesthetics
Efudex,Topical antineoplastics
Pacerone,Group III antiarrhythmics
PACLitaxel (Protein Bound),"Antineoplastic Agent, Antimicrotubular"
Pacnex LP,Topical acne agents
Pacnex MX,Topical acne agents
PADCEV Injection,Miscellaneous antineoplastics
Palbociclib, Antineoplastic Agents
Palforzia,Allergenics
Palgic,Antihistamines
Palifermin, Cell Stimulants and Proliferants
BP Cleansing Wash,Topical antibiotics
Palivizumab, Monoclonal Antibodies
Palladone,Narcotic analgesics
Palonosetron, 5-HT3 Receptor Antagonists
Palynziq,Miscellaneous metabolic agents
Pamelor,Tricyclic antidepressants
Pamidronate, Bone Resorption Inhibitors
Pamine,Anticholinergics / antispasmodics
Panoxyl Soap,Topical acne agents
Pancreaze,Digestive enzymes
Pancuronium, Neuromuscular Blocking Agents
Uvadex,Psoralens
Pandel,Topical steroids
Panhematin,Miscellaneous uncategorized agents
Panitumumab, Antineoplastic Agents
Panlor Tablets,Narcotic analgesic combinations
Panobinostat, Antineoplastic Agents
Panretin,Miscellaneous topical agents
Pantothenic Acid,"Vitamin, Water Soluble"
Panzyga,Immune globulins
Papaverine," Vasodilating Agents, Miscellaneous"
Parafon Forte DSC,Skeletal muscle relaxants
GOLYTELY,Laxatives
ParaGard,Miscellaneous vaginal agents
Paraplatin,Alkylating agents
Parathyroid Hormone, Parathyroid Agents
Parcopa,Dopaminergic antiparkinsonism agents
Paremyd,Mydriatics
Parlodel,Dopaminergic antiparkinsonism agents
Parnate,Monoamine oxidase inhibitors
Paromomycin, Amebicides
PARoxetine, Selective Serotonin-reuptake Inhibitors
Gocovri,Dopaminergic antiparkinsonism agents
Parsabiv,Calcimimetics
Pasireotide, Somatostatin Agonists
Patanase,Nasal antihistamines and decongestants
Patanol,Ophthalmic antihistamines and decongestants
Patiromer, Potassium-removing Agents
Patisiran, Other Miscellaneous Therapeutic Agents
Paxil,Selective serotonin reuptake inhibitors
Paxil CR,Selective serotonin reuptake inhibitors
Pazeo,Ophthalmic antihistamines and decongestants
PAZOPanib, Antineoplastic Agents
Pramoxine, Antipruritics and Local Anesthetics
NuCort Lotion,Topical steroids
NuLYTELY,Laxatives
Nubain,Narcotic analgesics
Nubeqa,Antiandrogens
Nucala,Interleukin inhibitors
Nucynta,Narcotic analgesics
Nucynta ER,Narcotic analgesics
Nuedexta,Miscellaneous central nervous system agents
Nulecit,Iron products
Nulibry,Miscellaneous metabolic agents
Golimumab, Disease-modifying Antirheumatic Drugs
Nulojix,Selective immunosuppressants
Numbrino,Topical anesthetics
Numorphan,Narcotic analgesics
Nuplazid,Atypical antipsychotics
Nurtec ODT,CGRP inhibitors
Nusinersen, Antisense Oligonucleotides
Nutrestore,Nutraceutical products
Nutropin AQ,Growth hormones
Nutropin,Growth hormones
NuvaRing,Contraceptives
Golodirsen, Antisense Oligonucleotides
Nuvessa,Vaginal anti-infectives
Nuvigil,CNS stimulants
Nuwiq,Miscellaneous coagulation modifiers
Nuzyra,Tetracyclines
Qbrelis,Angiotensin Converting Enzyme Inhibitors
Qbrexza,Miscellaneous topical agents
Methylfolate,Medical Food
Kimyrsa,Glycopeptide antibiotics
Kineret,Antirheumatics
Kinevac,Miscellaneous uncategorized agents
"Gonadotropin, Chorionic", Gonadotropins and Antigonadotropins
Kinlytic,Thrombolytics
Kinrix,Vaccine combinations
Kionex,Cation exchange resins
Kisqali,CDK 4 / 6 inhibitors
Kisqali Femara Co-Pack,Antineoplastic combinations
Kitabis Pak,Aminoglycosides
Clindamycin (Systemic), Lincomycins
Cladribine, Antineoplastic Agents
Cladribine (oral), Immunosuppressive Agents
Claforan,Third generation cephalosporins
Photofrin,Malignancy photosensitizers
Gonal-F,Gonadotropins
Claravis,Miscellaneous antineoplastics
Clarifoam EF,Topical antibiotics
Clarinex,Antihistamines
Clarinex-D 12 Hour,Upper respiratory combinations
Clarinex-D 24 Hour,Upper respiratory combinations
Claritin,Antihistamines
Clascoterone,Androgen Receptor Inhibitor
Clenpiq,Laxatives
Cleocin,Lincomycin derivatives
Cleocin Pediatric,Lincomycin derivatives
Gonal-F RFF,Gonadotropins
Cleocin Phosphate,Lincomycin derivatives
Cleocin Vaginal Cream,Vaginal anti-infectives
Clevidipine, Dihydropyridines
Cleviprex,Calcium channel blocking agents
Climara,Estrogens
Climara Pro,Sex hormone combinations
Clinda-Derm,Topical acne agents
Clindamax,Vaginal anti-infectives
ClindaMax Gel,Vaginal anti-infectives
ClindaReach,Topical acne agents
GoNitro,Antianginal agents
Clindacin ETZ,Topical acne agents
Clindacin P,Topical acne agents
Clindagel,Topical acne agents
Clindamycin and Tretinoin,Acne Products
Clindesse,Vaginal anti-infectives
Clinoril,Nonsteroidal anti-inflammatory drugs
Clobazam, Benzodiazepines
Clobex,Topical steroids
Clocortolone Cream,Topical steroids
Clodan Shampoo,Topical steroids
raNITIdine, Histamine H2-Antagonists
Cloderm,Topical steroids
Clofarabine, Antineoplastic Agents
Clofazimine," Antimycobacterials, Miscellaneous"
Clolar,Antimetabolites
Clomid,Synthetic ovulation stimulants
clomiPHENE, Estrogen Agonists-Antagonists
clomiPRAMINE, Tricyclics and Other Norepinephrine-reuptake Inhibitors
Clonidine, Central alpha-Agonists
Clonidine and Chlorthalidone,Alpha2-Adrenergic Agonist
Clopidogrel, Platelet-aggregation Inhibitors
Famotidine, Histamine H2-Antagonists
Clorpres,Antiadrenergic agents (central) with thiazides
Clotrimazole (Oral),"Antifungal Agent, Imidazole Derivative"
Clozapine, Atypical Antipsychotics
Clozaril,Atypical antipsychotics
Imatinib, Antineoplastic Agents
Imbruvica,BTK inhibitors
Imcivree,Melanocortin receptor agonists
Imdur,Antianginal agents
Isosorbide Mononitrate,Antianginal Agent
Imfinzi,Anti-PD-1 monoclonal antibodies
Sunmark All Day Allergy-D,Upper respiratory combinations
Imiglucerase, Enzymes
Imipenem/Cilastatin, Carbapenems
"Imipenem, Cilastatin, and Relebactam", Carbapenems
Imipramine, Tricyclics and Other Norepinephrine-reuptake Inhibitors
Imiquimod," Skin and Mucous Membrane Agents, Miscellaneous"
Imitrex,Antimigraine agents
Imlygic,Miscellaneous antineoplastics
Imodium,Antidiarrheals
Imovax Rabies,Viral vaccines
Impavido,Anthelmintics
All Day Pain Relief,Nonsteroidal anti-inflammatory drugs
Impeklo,Topical steroids
Implanon,Contraceptives
Impoyz,Topical steroids
Imuran,Antirheumatics
Focalin,CNS stimulants
Focalin XR,CNS stimulants
"Levomefolate, Calcium Acetylcysteine and Mecobalamin Algal",Vitamin and mineral combinations
Follitropin Alfa,Gonadotropin
Follistim AQ,Gonadotropins
Follitropin Beta,Gonadotropin
Allergy Relief Tablets,Antihistamines
Folotyn,Antimetabolites
Fomepizole, Antidotes
Fondaparinux," Anticoagulants, Miscellaneous"
Foradil,Adrenergic bronchodilators
Forfivo XL,Miscellaneous antidepressants
Formaldehyde Liquid,Miscellaneous topical agents
Formoterol, Selective beta-2-Adrenergic Agonists
Fortamet,Non-sulfonylureas
Fortaz,Third generation cephalosporins
Forteo,Parathyroid hormone and analogs
Leader Anti-Diarrheal,Antidiarrheals
Fortesta Gel,Androgens and anabolic steroids
Fortical,Calcitonin
Fosamax,Bisphosphonates
Fosamax Plus D,Bisphosphonates
Fosamprenavir, HIV Protease Inhibitors
Foscarnet," Antivirals, Miscellaneous"
Foscavir,Miscellaneous antivirals
Fosfomycin, Urinary Anti-infectives
Fosinopril, Angiotensin-Converting Enzyme Inhibitors
Fosinopril and Hydrochlorothiazide,Angiotensin-Converting Enzyme (ACE) Inhibitor
Ibuprofen, Other Nonsteroidal Anti-inflammatory Agents
Fosrenol,Phosphate binders
Fostamatinib," Blood Formation, Coagulation, and Thrombosis Agents; Miscellaneous"
Fostemsavir, HIV Entry and Fusion Inhibitors
Fotivda,VEGF / VEGFR inhibitors
Eovist,Magnetic resonance imaging contrast media
Udenyca,Colony stimulating factors
Zmax,Macrolides
QVAR,Inhaled corticosteroids
Ustekinumab, Disease-modifying Antirheumatic Drugs
Ustell,Urinary antispasmodics
Photrexa Viscous,Miscellaneous ophthalmic agents
ClearLax,Laxatives
DDAVP,Antidiuretic hormones
DDAVP Rhinal Tube,Antidiuretic hormones
Jublia,Topical antifungals
Juleber,Contraceptives
Juluca,Antiviral combinations
Juvisync,Antidiabetic combinations
AzaSite,Ophthalmic anti-infectives
Azacitidine, Antineoplastic Agents
Azactam,Miscellaneous antibiotics
Azasan,Antirheumatics
Topcare Dayhist Allergy,Antihistamines
Azathioprine, Immunosuppressive Agents
Azedra Injection,Therapeutic radiopharmaceuticals
Azelaic Acid," Skin and Mucous Membrane Agents, Miscellaneous"
Azelastine (Nasal),Histamine H1 Antagonist
Azelastine, Antiallergic Agents
Azelastine and Fluticasone Nasal Spray,Nasal antihistamines and decongestants
Azelastine and Fluticasone,"Corticosteroid, Nasal"
Azelex,Topical acne agents
Azilect,Dopaminergic antiparkinsonism agents
Azilsartan, Angiotensin II Receptor Antagonists
Nicotine," Autonomic Drugs, Miscellaneous"
Azithromycin (Ophthalmic),"Antibiotic, Macrolide"
Azmacort,Glucocorticoids
Azo Gesic,Miscellaneous genitourinary tract agents
Azopt,Ophthalmic glaucoma agents
Azor,Angiotensin II inhibitors with calcium channel blockers
Azstarys,CNS stimulants
Aztreonam, Monobactams
Azulfidine,5-aminosalicylates
Azulfidine EN Tablets,5-aminosalicylates
Azuphen MB,Urinary antispasmodics
Good Sense Sleep Aid,"Miscellaneous anxiolytics, sedatives and hypnotics"
Azurette,Contraceptives
Evamist,Estrogens
Evekeo,CNS stimulants
Evekeo ODT,CNS stimulants
Evenity Injection,Miscellaneous bone resorption inhibitors
Everolimus, Antineoplastic Agents
Evista,Hormones / antineoplastics
Evithrom,Miscellaneous coagulation modifiers
Evkeeza,Miscellaneous antihyperlipidemic agents
Evoclin,Topical acne agents
Tioconazole, Azoles
Evolocumab, Proprotein Convertase Subtilisin Kexin Type 9 (PCSK9) Inhibitors
Evomela,Alkylating agents
Evotaz,Antiviral combinations
Evoxac,Cholinergic agonists
Evrysdi,Miscellaneous uncategorized agents
Evzio,Antidotes
Qwo Injection,Miscellaneous uncategorized agents
DAUNOrubicin, Antineoplastic Agents
DaTscan,Diagnostic radiopharmaceuticals
Dabigatran, Direct Thrombin Inhibitors
Minoxidil (Topical)," Skin and Mucous Membrane Agents, Miscellaneous"
Dabrafenib, Antineoplastic Agents
Daclatasvir,"Antihepaciviral, NS5A Inhibitor"
Daclizumab,Immunosuppressant Agent
Dacogen,Antimetabolites
Dacomitinib, Antineoplastic Agents
Dactinomycin, Antineoplastic Agents
Daklinza,NS5A inhibitors
Dalbavancin, Glycopeptides
Dalfampridine, Other Miscellaneous Therapeutic Agents
Daliresp,Selective phosphodiesterase-4 inhibitors
Cetirizine and Pseudoephedrine,Alpha/Beta Agonist
Dallergy Tablets,Upper respiratory combinations
Dallergy PE Tablets,Upper respiratory combinations
Dallergy PE Syrup,Upper respiratory combinations
Dalteparin, Heparins
Dalvance,Glycopeptide antibiotics
Danazol, Androgens
Danocrine,Antigonadotropic agents
Dantrium,Skeletal muscle relaxants
Dantrium Intravenous,Skeletal muscle relaxants
Danyelza,Miscellaneous antineoplastics
Urea Solution,Topical emollients
Dapagliflozin, Sodium-glucose Cotransporter 2 (SGLT2) Inhibitors
Dapagliflozin and Metformin,"Antidiabetic Agent, Biguanide"
"Dapagliflozin, Saxagliptin, and Metformin","Antidiabetic Agent, Biguanide"
Dapsone (Systemic)," Antimycobacterials, Miscellaneous"
Dapsone (Topical)," Skin and Mucous Membrane Agents, Miscellaneous"
Daptacel,Vaccine combinations
Daptomycin, Cyclic Lipopeptides
Daraprim,Miscellaneous antimalarials
Daratumumab, Antineoplastic Agents
Daratumumab and Hyaluronidase,"Antineoplastic Agent, Anti-CD38"
Urea (Topical),Keratolytic Agent
Darbepoetin Alfa, Hematopoietic Agents
Darifenacin, Genitourinary Smooth Muscle Relaxants
Darolutamide, Antineoplastic Agents
Darunavir, HIV Protease Inhibitors
Darvocet-N,Narcotic analgesic combinations
Darzalex,CD38 monoclonal antibodies
Darzalex Faspro,CD38 monoclonal antibodies
Dasatinib, Antineoplastic Agents
DAUNOrubicin (Liposomal),"Antineoplastic Agent, Anthracycline"
Daurismo,Hedgehog pathway inhibitors
Goserelin, Gonadotropins
Daypro,Nonsteroidal anti-inflammatory drugs
Daysee,Contraceptives
Daytrana,CNS stimulants
Dayvigo,"Miscellaneous anxiolytics, sedatives and hypnotics"
ACAM2000,Viral vaccines
Acalabrutinib, Antineoplastic Agents
Acamprosate," Central Nervous System Agents, Miscellaneous"
Acanya,Topical acne agents
Acarbose, alpha-Glucosidase Inhibitors
Accolate,Leukotriene modifiers
Phrenilin with Caffeine and Codeine,Narcotic analgesic combinations
Jelmyto,Antibiotics / antineoplastics
Accuneb,Adrenergic bronchodilators
Accupril,Angiotensin Converting Enzyme Inhibitors
Accuretic,ACE inhibitors with thiazides
Accutane,Miscellaneous antineoplastics
Acebutolol, beta-Adrenergic Blocking Agents
Aceon,Angiotensin Converting Enzyme Inhibitors
Acetadote,Antidotes
Butalbital and Acetaminophen,"Analgesic, Nonopioid"
Acetaminophen and Caffeine,"Analgesic, Nonopioid"
"Isometheptene, Caffeine, and Acetaminophen Tablets",Analgesic combinations
Jemperli,Anti-PD-1 monoclonal antibodies
"Butalbital, Acetaminophen, Caffeine, and Codeine",Analgesic Combination (Opioid)
"Acetaminophen, Caffeine, and Dihydrocodeine",Analgesic Combination (Opioid)
Acetasol HC,Otic steroids with anti-infectives
Aciphex,Proton pump inhibitors
Acitretin," Skin and Mucous Membrane Agents, Miscellaneous"
Aclidinium, Antimuscarinics/Antispasmodics
Aclidinium and Formoterol,Anticholinergic Agent
Aclovate,Topical steroids
Acrivastine and Pseudoephedrine,Alkylamine Derivative
Jentadueto,Antidiabetic combinations
ActHIB,Bacterial vaccines
Actemra,Interleukin inhibitors
H.P. Acthar Gel,Corticotropin
Acthrel,Corticotropin
Actigall,Gallstone solubilizing agents
Actimmune,Interferons
Actiq,Narcotic analgesics
Activase,Thrombolytics
Activella,Sex hormone combinations
Actonel,Bisphosphonates
Jentadueto XR,Antidiabetic combinations
Actonel with Calcium,Bisphosphonates
Actoplus Met,Antidiabetic combinations
Actoplus Met XR,Antidiabetic combinations
Actos,Thiazolidinediones
Acular,Ophthalmic anti-inflammatory agents
Acular LS,Ophthalmic anti-inflammatory agents
Acular PF,Ophthalmic anti-inflammatory agents
Acuvail,Ophthalmic anti-inflammatory agents
Acyclovir (Systemic), Nucleosides and Nucleotides
Acyclovir (Ophthalmic),"Antiviral Agent, Ophthalmic"
Jetrea,Miscellaneous ophthalmic agents
Acyclovir and Hydrocortisone,"Antiviral Agent, Topical"
Aczone,Topical acne agents
Budeprion SR Tablets,Miscellaneous antidepressants
buPROPion," Antidepressants, Miscellaneous"
Budeprion XL,Miscellaneous antidepressants
Budesonide and Formoterol Aerosol,Bronchodilator combinations
Budesonide and Formoterol,Beta2 Agonist
"Budesonide, Glycopyrrolate, and Formoterol",Anticholinergic Agent
Bumetanide, Loop Diuretics
Bumex,Loop diuretics
Jeuveau,Skeletal muscle relaxants
Bunavail Buccal Film,Narcotic analgesic combinations
Buprenorphine and Naloxone Sublingual Tablets,Narcotic analgesic combinations
Bupap Tablets,Analgesic combinations
Buphenyl,Urea cycle disorder agents
Bupivacaine (Liposomal),Local Anesthetic
Buprenex,Narcotic analgesics
Buprenorphine and Naloxone,"Analgesic, Opioid"
Buprenorphine and Naloxone Sublingual Film,Narcotic analgesic combinations
Buproban,Smoking cessation agents
Burosumab-twza," Electrolytic, Caloric, and Water Balance Agents; Miscellaneous"
Jevantique,Contraceptives
BuSpar,"Miscellaneous anxiolytics, sedatives and hypnotics"
Busulfex,Alkylating agents
Butabarbital,Barbiturate
Butenafine, Benzylamines
Butoconazole, Azoles
Butorphanol, Opiate Partial Agonists
Butrans Patch,Narcotic analgesics
Drisdol,Vitamins
Dritho Creme,Topical antipsoriatics
Jevantique Lo,Contraceptives
Dronabinol," Antiemetics, Miscellaneous"
Dronedarone, Class III Antiarrhythmics
Droperidol," Anxiolytics, Sedatives, and Hypnotics; Miscellaneous"
Drospirenone,Contraceptive
Drospirenone and Estradiol,Estrogen and Progestin Combination
"Ethinyl Estradiol, Drospirenone, and Levomefolate",Contraceptive
Droxia,Antimetabolites
Droxidopa, alpha- and beta-Adrenergic Agonists
Ukoniq,Multikinase inhibitors
Signifor Injection,Somatostatin and somatostatin analogs
Jevtana,Mitotic inhibitors
Signifor LAR Injection,Somatostatin and somatostatin analogs
Siklos,Antimetabolites
Sildenafil, Phosphodiesterase Type 5 Inhibitors
Silenor,"Miscellaneous anxiolytics, sedatives and hypnotics"
Children's Silfedrine,Decongestants
Siliq,Interleukin inhibitors
Silodosin, Selective alpha-1-Adrenergic Blocking Agents
Siltuximab, Antineoplastic Agents
Silvadene,Topical antibiotics
Simbrinza,Ophthalmic glaucoma agents
Acetylcysteine, Antidotes
Simcor,Antihyperlipidemic combinations
Simeprevir,"Antihepaciviral, NS3/4A Protease Inhibitor (Anti-HCV)"
Simliya,Contraceptives
Simponi,TNF alfa inhibitors
Simponi Aria,TNF alfa inhibitors
Simulect,Interleukin inhibitors
Simvastatin, HMG-CoA Reductase Inhibitors
Sincalide,Diagnostic Agent
Sinemet,Dopaminergic antiparkinsonism agents
Sinemet CR,Dopaminergic antiparkinsonism agents
Simethicone, Antiflatulents
Theophylline,"Phosphodiesterase Enzyme Inhibitor, Nonselective"
Nabi-HB,Immune globulins
Sinequan,"Miscellaneous anxiolytics, sedatives and hypnotics"
Singulair,Leukotriene modifiers
Siponimod, Immunomodulatory Agents
Sipuleucel-T,"Cellular Immunotherapy, Autologous"
SITagliptin, Dipeptidyl Peptidase-4 (DPP-4) Inhibitors
Sitavig,Purine nucleosides
Sivextro,Oxazolidinone antibiotics
K-Dur,Minerals and electrolytes
Ecallantide, Complement Inhibitors
Hepatitis B Immune Globulin, Antitoxins and Immune Globulins
Echothiophate Iodide,Acetylcholinesterase Inhibitor
Econopred Plus,Ophthalmic steroids
Ecoza Foam,Topical antifungals
Eculizumab, Complement Inhibitors
Zaditor,Ophthalmic antihistamines and decongestants
Zafirlukast, Leukotriene Modifiers
Zaleplon," Anxiolytics, Sedatives, and Hypnotics; Miscellaneous"
Zaltrap,VEGF / VEGFR inhibitors
Zamicet,Narcotic analgesic combinations
Zanaflex,Skeletal muscle relaxants
Nabumetone, Other Nonsteroidal Anti-inflammatory Agents
Zanamivir, Neuraminidase Inhibitors
Zanosar,Alkylating agents
Zantac,H2 antagonists
Zanubrutinib, Antineoplastic Agents
Zarah,Contraceptives
Zarontin,Succinimide anticonvulsants
Zaroxolyn,Thiazide diuretics
Zarxio,Colony stimulating factors
Zavesca,Miscellaneous metabolic agents
Zazole,Vaginal anti-infectives
Nadolol, beta-Adrenergic Blocking Agents
K-PHOS Neutral,Minerals and electrolytes
K-PHOS No. 2,Minerals and electrolytes
Kogenate FS,Miscellaneous coagulation modifiers
Kombiglyze XR,Antidiabetic combinations
Korlym,Progesterone receptor modulators
Koselugo,Multikinase inhibitors
Kovaltry,Miscellaneous coagulation modifiers
Khapzory Injection,Antidotes
